Date,Volume,10 BD moving average,50 BD moving average,10 BD volatility,EPS,DJUSCL,50 BD simple return,daily simple return,category,50 BD moving average 10 days later
4.0213,4.092,14.562,14.6546,5.598,3.8,10.15166667,-2.304,-4.99,2,14.61
4.0214,3.616,14.421,14.6318,5.835,3.8,10.391,-0.393,4.45,6,14.728
4.0217,2.639,14.37,14.628,5.668,3.8,10.064,-0.987,-1.33,3,14.905
4.0218,5.541,14.255,14.6184,4.728,3.8,10.507,-0.438,0.42,5,15
4.0219,2.272,14.177,14.6142,4.027,3.8,10.48433333,0.084,0.56,5,15.059
4.022,3.924,14.111,14.615,3.111,3.8,11,2.643,3.02,6,15.144
4.0221,5.742,14.134,14.6388,3.463,3.8,11.11033333,3.639,1.97,5,15.248
4.0225,4.987,14.281,14.6712,3.635,3.8,11.47966667,5.094,5.34,6,15.3
4.0226,3.352,14.468,14.717,5.724,3.8,11.515,5.217,-0.76,3,15.343
4.0227,1.948,14.61,14.7634,6.763,3.8,11.581,5.187,-0.38,3,15.327
4.0228,2.82,14.728,14.8094,7.395,3.8,11.624,4.584,-0.83,3,15.381
4.0231,2.486,14.905,14.8504,6.751,3.8,11.60666667,5.106,-1.36,3,15.43
4.0232,4.536,15,14.8948,6.484,3.8,11.03933333,4.53,-3.6,2,15.555
4.0233,3.39,15.059,14.9334,5.829,3.8,11.157,4.872,2.18,5,15.668
4.0234,3.887,15.144,14.9754,4.96,3.8,11.34666667,6.171,1.8,5,15.815
4.0235,4.895,15.248,15.0276,3.871,3.8,11.45833333,4.491,-0.59,3,15.962
4.0238,3.464,15.3,15.0672,3.353,3.8,11.82933333,4.269,1.31,5,16.056
4.0239,6.766,15.343,15.1056,3.168,3.8,12.178,4.788,1.36,5,16.187
4.024,13.456,15.327,15.1486,2.956,3.8,12.22,5.346,3.71,6,16.33
4.0241,9.691,15.381,15.1976,3.956,3.8,12.11933333,3.174,-0.68,3,16.443
4.0242,10.72,15.43,15.2284,4.521,3.8,12.59966667,3.822,3.92,6,16.482
4.0245,5.198,15.555,15.2662,6.097,3.8,12.37833333,3.09,-1.97,3,16.498
4.0246,6.722,15.668,15.2968,6.522,3.8,12.25766667,2.337,-1.28,3,16.428
4.0247,4.609,15.815,15.3202,5.731,3.8,12.483,3,1.98,5,16.356
4.0248,3.986,15.962,15.3502,5.368,3.8,12.493,2.457,-1.58,3,16.35
4.0249,3.619,16.056,15.3748,4.881,3.8,12.60466667,2.952,1.72,5,16.31
4.0252,8.87,16.187,15.4044,4.044,3.8,12.032,3.612,1.94,5,16.296
4.0253,7.661,16.33,15.4406,3.48,3.8,12.37733333,4.512,-0.53,3,16.254
4.0254,13.942,16.443,15.4844,2.655,3.8,12.56966667,3.516,-0.96,3,16.211
4.0255,7.141,16.482,15.5192,2.543,3.8,12.132,2.262,-2.05,3,16.177
4.0256,11.045,16.498,15.542,2.308,3.8,11.71433333,-0.279,-1.42,3,16.182
4.0259,7.567,16.428,15.539,2.603,3.8,11.68233333,-1.299,-2.18,3,16.246
4.026,5.076,16.356,15.5248,3.545,3.8,11.94866667,-0.849,2.87,5,16.359
4.0261,5.211,16.35,15.5154,3.583,3.8,12.02766667,-1.251,-0.12,3,16.469
4.0262,6.34,16.31,15.5014,3.62,3.8,11.48366667,-1.215,0,5,16.501
4.0263,4.755,16.296,15.4878,3.677,3.8,11.478,-1.164,0,5,16.52
4.0266,2.67,16.254,15.4748,3.632,3.8,11.846,-0.273,1.93,5,16.567
4.0267,3.569,16.211,15.4718,3.073,3.8,11.71566667,0.579,0,5,16.612
4.0268,5.537,16.177,15.478,2.554,3.8,11.713,0.162,1.4,5,16.646
4.0269,5.695,16.182,15.4798,2.647,5.1,11.93766667,1.2,1.5,5,16.676
4.0273,4.935,16.246,15.4928,3.474,5.1,12.23733333,4.05,1.54,5,16.663
4.0274,4.519,16.359,15.5336,4.378,5.1,12.23966667,3.948,-2.22,3,16.574
4.0275,2.741,16.469,15.5726,3.798,5.1,12.10766667,2.298,-1.97,3,16.503
4.0276,2.674,16.501,15.596,3.601,5.1,12.00933333,2.667,-0.91,3,16.501
4.0277,2.076,16.52,15.6226,3.411,5.1,12.12766667,3.318,1.72,5,16.537
4.028,3.085,16.567,15.6556,3.075,5.1,12.30766667,4.335,-0.12,3,16.56
4.0281,4.129,16.612,15.6974,2.61,5.1,12.194,7.194,1.21,5,16.591
4.0282,8.884,16.646,15.7622,2.538,5.1,12.25733333,6.039,-0.24,3,16.563
4.0283,4.903,16.676,15.8182,2.401,5.1,12.163,4.782,-1.2,3,16.431
4.0284,4.048,16.663,15.8636,2.458,5.1,11.68966667,3.288,-3.09,2,16.359
4.0287,8.412,16.574,15.8952,3.078,5.1,11.653,6,2.75,5,16.342
4.0288,18.686,16.503,15.95,2.329,5.1,11.80066667,5.115,1.89,5,16.342
4.0289,2.854,16.501,15.9988,2.304,5.1,11.87966667,5.694,0.3,5,16.303
4.029,3.119,16.537,16.0524,2.473,5.1,11.89,4.95,-1.67,3,16.138
4.0291,2.696,16.56,16.0992,2.32,5.1,12.38,5.511,2.18,5,15.904
4.0294,4.501,16.591,16.1516,2.533,5.1,12.349,3.228,-3.61,2,15.682
4.0295,5.26,16.563,16.1832,2.73,5.1,11.802,0.9,-5.16,2,15.368
4.0296,2.411,16.431,16.1922,4.404,5.1,11.97,0.399,3.63,6,15.153
4.0297,2.906,16.359,16.1964,4.485,5.1,11.80466667,1.302,2.19,5,15.038
4.0298,5.113,16.342,16.21,4.453,5.1,11.44166667,0.768,-2.08,3,14.929
4.0301,4.588,16.342,16.218,4.453,5.1,11.37066667,1.125,0.31,5,14.765
4.0302,4.132,16.303,16.2296,4.528,5.1,10.79433333,-0.315,-5.92,2,14.625
4.0303,5.765,16.138,16.2264,5.598,5.1,10.703,-0.51,-4.24,2,14.457
4.0304,3.876,15.904,16.2214,7.188,5.1,10.261,-1.458,-1.11,3,14.375
4.0305,3.803,15.682,16.2068,8.4,5.1,10.04,-3.06,-3.92,2,14.36
4.0308,7.806,15.368,16.1756,9.25,5.1,10.897,-2.151,2.77,5,14.313
4.0309,4.735,15.153,16.1538,9.418,5.1,10.325,-2.199,1.13,5,14.335
4.031,8.547,15.038,16.1312,9.739,5.1,10.65933333,-1.383,4.34,6,14.281
4.0311,7.175,14.929,16.1168,9.147,5.1,10.638,-2.778,-1.34,3,14.202
4.0312,3.118,14.765,16.0868,7.69,5.1,10.334,-2.778,-0.68,3,14.117
4.0315,5.012,14.625,16.057,6.349,5.1,9.777,-4.218,-1.58,3,14.15
4.0316,5.93,14.457,16.01,3.916,5.1,9.574666667,-3.861,-0.63,3,14.166
4.0317,4.51,14.375,15.9678,3.216,5.1,9.277666667,-3.468,0.21,5,14.14
4.0318,6.715,14.36,15.9304,3.207,5.1,8.743666667,-4.854,-3.35,2,14.212
4.0319,5.935,14.313,15.877,3.622,5.1,9.170666667,-4.212,0.94,5,14.297
4.0322,3.749,14.335,15.8314,3.287,5.1,8.936,-5.34,-2.72,3,14.364
4.0323,5.088,14.281,15.7726,4.037,5.1,9.141333333,-5.967,-0.66,3,14.353
4.0324,18.938,14.202,15.7056,4.75,5.1,9.220666667,-4.836,4.15,6,14.384
4.0325,5.248,14.117,15.6516,4.074,5.1,9.798333333,-2.82,6.98,6,14.417
4.0326,4.879,14.15,15.6204,4.687,5.1,9.662666667,-2.751,-1.8,3,14.453
4.033,4.18,14.166,15.5906,4.881,5.1,8.922,-3.576,-4.4,2,14.399
4.0331,3.992,14.14,15.5524,4.829,5.1,9.617333333,-1.284,6.31,6,14.35
4.0332,9.444,14.212,15.539,5.545,5.1,9.523666667,-1.788,1.07,5,14.4
4.0333,2.88,14.297,15.5198,6.31,5.1,8.981,-2.982,-4.35,2,14.349
4.0336,3.168,14.364,15.4878,6.112,5.1,8.688666667,-4.194,-4.48,2,14.286
4.0337,2.256,14.353,15.4428,6.202,5.1,9.025666667,-4.119,0.29,5,14.304
4.0338,2.581,14.384,15.3986,5.839,5.1,8.917,-4.734,-0.5,3,14.36
4.0339,2.67,14.417,15.3468,5.351,5.1,9.561666667,-3.657,4.27,6,14.368
4.034,1.19,14.453,15.3068,5.195,5.1,9.674666667,-3.876,0.56,5,14.395
4.0343,2.614,14.399,15.2638,4.794,5.1,9.710333333,-4.653,-1.52,3,14.341
4.0344,3.872,14.35,15.2114,4.632,5.1,10.08266667,-4.443,2.38,5,14.327
4.0345,1.603,14.4,15.1606,4.614,5.1,9.958,-4.08,-0.82,3,14.301
